# index, _pos
317,"array([1.6561622 , 2.96000328])"
318,"array([1.83215284, 3.03680503])"
319,"array([1.81066788, 3.00845997])"
320,"array([1.83521468, 3.01265065])"
321,"array([1.72011856, 2.94976291])"
322,"array([1.98198591, 3.04503549])"
323,"array([1.80077404, 3.00047111])"
324,"array([1.69142496, 2.96951556])"
325,"array([1.78618902, 3.00209939])"
326,"array([1.67226865, 2.96540659])"
327,"array([2.0621621 , 3.03700289])"
328,"array([1.71311805, 2.95605381])"
329,"array([1.71918071, 2.9664148 ])"
330,"array([1.77201356, 3.00009255])"
331,"array([2.07242039, 3.05537396])"
332,"array([2.19143381, 3.08010069])"
333,"array([1.75575673, 2.9968297 ])"
334,"array([1.66707253, 2.95355572])"
335,"array([1.74389854, 3.00710622])"
336,"array([1.83791639, 3.00008611])"
337,"array([1.57993693, 2.92419923])"
338,"array([1.6626795 , 2.94800317])"
339,"array([1.63759897, 2.95788524])"
340,"array([1.89047767, 2.95643556])"
341,"array([1.84482981, 2.95529392])"
342,"array([1.62589732, 2.94827167])"
343,"array([1.67860849, 2.96242765])"
344,"array([1.85068172, 3.01716748])"
345,"array([1.7433809 , 2.97638844])"
346,"array([1.86025845, 3.0120907 ])"
347,"array([1.7808866 , 2.99420573])"
348,"array([1.85148258, 2.98813642])"
349,"array([1.93871561, 3.00523176])"
350,"array([2.0850503 , 3.04377615])"
351,"array([1.79645761, 3.02043337])"
352,"array([1.84523791, 3.00729299])"
353,"array([1.89270202, 3.02179724])"
354,"array([1.87084715, 3.03004221])"
355,"array([1.888858  , 3.03465195])"
356,"array([1.90426092, 2.98547099])"
357,"array([1.92125903, 2.96619993])"
358,"array([2.0521677 , 3.06634923])"
359,"array([2.02743938, 3.08555462])"
360,"array([1.89174512, 3.00173112])"
361,"array([1.84143655, 2.97321416])"
362,"array([1.80460893, 2.96021192])"
363,"array([1.90141313, 2.9428325 ])"
364,"array([1.8544845 , 2.95802277])"
365,"array([1.75007399, 2.97230823])"
366,"array([1.91701197, 3.0189711 ])"
367,"array([1.87984948, 2.98081102])"
368,"array([1.98508009, 3.00811009])"
369,"array([1.67218703, 2.9738185 ])"
370,"array([1.34009315, 2.93598589])"
371,"array([1.69790584, 3.08386875])"
372,"array([1.7262983 , 2.95059709])"
373,"array([1.74328381, 2.98454082])"
374,"array([1.84383289, 3.02306982])"
375,"array([1.68442123, 2.9579542 ])"
376,"array([1.65171487, 2.96442804])"
377,"array([1.82505643, 3.01360403])"
378,"array([2.01632503, 3.0531393 ])"
379,"array([1.79066376, 2.9774425 ])"
380,"array([1.70661787, 2.96356375])"
381,"array([1.87849757, 2.99999864])"
382,"array([2.05325748, 3.04875504])"
383,"array([1.69051173, 2.98194771])"
384,"array([1.71193379, 2.94006578])"
385,"array([1.37391541, 2.89531415])"
386,"array([1.61082113, 2.99708956])"
387,"array([2.05580716, 3.02259298])"
388,"array([1.67761232, 2.99819866])"
389,"array([1.87287896, 2.96208598])"
390,"array([1.68667454, 2.98767296])"
391,"array([1.64241829, 2.95348342])"
392,"array([2.06676189, 3.00490175])"
393,"array([1.63018185, 2.95863244])"
394,"array([1.99031273, 3.08993543])"
395,"array([1.7199949 , 2.91507305])"
396,"array([1.74097805, 2.99118675])"
397,"array([1.840092  , 2.98904342])"
398,"array([1.69126996, 2.95056047])"
399,"array([1.65688808, 2.94589069])"
400,"array([1.65808181, 2.95264497])"
401,"array([1.70195116, 3.00507569])"
402,"array([1.71448679, 2.99797913])"
403,"array([2.09826485, 3.08052322])"
404,"array([2.01712244, 3.03150401])"
405,"array([1.83272814, 2.95446278])"
406,"array([1.90856939, 3.0121763 ])"
407,"array([1.87832354, 2.97127873])"
408,"array([1.75066663, 2.98865035])"
409,"array([1.73290552, 3.03005334])"
410,"array([1.90171696, 3.11424232])"
411,"array([1.71229666, 3.13058175])"
412,"array([1.94393862, 3.01780029])"
413,"array([1.42246616, 2.88695888])"
414,"array([1.67877064, 3.03986889])"
415,"array([1.85975761, 2.68391794])"
416,"array([1.62427682, 2.76906637])"
417,"array([1.58269823, 3.02601335])"
418,"array([1.34261842, 2.91561569])"
419,"array([1.92827411, 3.03408263])"
420,"array([1.99538919, 2.99639459])"
421,"array([1.85059958, 2.97817493])"
422,"array([1.67436373, 2.94305617])"
423,"array([1.6456628 , 2.95907256])"
424,"array([1.93903194, 3.02871583])"
425,"array([1.85901491, 2.92591344])"
426,"array([1.90566459, 2.97528126])"
427,"array([1.87049772, 3.0062586 ])"
428,"array([1.92658963, 2.94481477])"
429,"array([2.07126327, 3.02057427])"
430,"array([2.10424155, 3.03286143])"
431,"array([1.89730031, 3.00948516])"
432,"array([2.00520234, 3.01595805])"
433,"array([1.95851538, 3.02904874])"
434,"array([1.9272684 , 2.98480584])"
435,"array([1.90985877, 3.06414644])"
436,"array([2.0107738 , 2.99818672])"
437,"array([1.90695645, 2.89295389])"
438,"array([2.10353657, 3.05110961])"
439,"array([1.98359039, 3.02179982])"
440,"array([2.17617275, 3.02069278])"
441,"array([2.3181913 , 3.08145573])"
442,"array([2.30255825, 3.03674914])"
443,"array([2.32917896, 3.06285417])"
444,"array([2.01397074, 3.00911813])"
445,"array([2.29948793, 3.08224526])"
446,"array([2.32104322, 3.03150185])"
447,"array([2.3108913 , 3.06612368])"
448,"array([2.30825441, 3.01733077])"
449,"array([2.31727336, 3.04906672])"
450,"array([2.29708579, 3.0560326 ])"
451,"array([2.33274768, 3.0200705 ])"
452,"array([2.32077327, 3.00423575])"
453,"array([2.33446609, 3.04283138])"
454,"array([1.71089889, 2.94995386])"
455,"array([1.91619778, 2.99968873])"
456,"array([1.66250367, 2.91456983])"
457,"array([1.67734831, 2.97187185])"
458,"array([1.88770204, 2.96611888])"
459,"array([1.86414509, 2.94361695])"
460,"array([1.71341945, 2.97007901])"
461,"array([1.75957182, 2.97355335])"
462,"array([1.75833972, 2.98816973])"
463,"array([1.68552867, 2.9638956 ])"
464,"array([1.4461326, 2.8835078])"
465,"array([1.40016444, 2.97497266])"
466,"array([1.95905813, 3.00858299])"
467,"array([2.01528574, 2.98567708])"
468,"array([1.70614265, 2.98172196])"
469,"array([1.91425774, 2.95543172])"
470,"array([1.76724551, 3.02834378])"
471,"array([1.45920319, 2.94576482])"
472,"array([1.85009336, 2.99750767])"
473,"array([1.69942115, 2.96158741])"
474,"array([1.69429163, 2.93528649])"
475,"array([1.79723496, 2.85480388])"
476,"array([1.83484941, 2.92565856])"
477,"array([1.829144 , 2.9339223])"
478,"array([1.94411347, 2.9949682 ])"
479,"array([1.88665485, 2.93548609])"
480,"array([1.69795995, 2.90905641])"
481,"array([1.8847259 , 2.90049486])"
482,"array([1.33801885, 2.8577476 ])"
483,"array([1.73100907, 2.92460217])"
484,"array([1.70625201, 2.8955698 ])"
485,"array([1.86695586, 2.95394699])"
486,"array([1.8739524, 2.9891934])"
487,"array([1.77664146, 2.89733363])"
488,"array([1.73311529, 2.93233952])"
489,"array([1.75129379, 2.9571425 ])"
490,"array([1.80550464, 2.92665352])"
491,"array([1.97331545, 2.90565591])"
492,"array([1.79860629, 2.91411858])"
493,"array([1.69915221, 2.9453745 ])"
494,"array([1.64286634, 2.97108457])"
495,"array([1.81464026, 3.01815384])"
496,"array([1.69583482, 3.00848401])"
497,"array([1.73970311, 3.01536825])"
498,"array([1.75691561, 2.96434652])"
499,"array([1.70410749, 2.97100936])"
500,"array([1.86412767, 3.02235626])"
501,"array([1.7950901 , 2.99675901])"
502,"array([1.66516056, 2.98265766])"
503,"array([1.86744789, 3.04215426])"
504,"array([1.72276445, 2.98116616])"
505,"array([1.67193739, 2.98059701])"
506,"array([1.83778053, 3.04535681])"
507,"array([1.8804363, 3.0592768])"
508,"array([1.87183497, 3.01734166])"
509,"array([1.72982794, 2.96676762])"
510,"array([1.87841145, 3.02470869])"
511,"array([1.75443581, 2.92944608])"
512,"array([1.66927253, 2.9477216 ])"
513,"array([1.66533382, 2.97641712])"
514,"array([1.72455726, 2.92954731])"
515,"array([1.75790725, 2.93724819])"
516,"array([1.86041609, 3.03158241])"
517,"array([1.8561338, 3.0489517])"
518,"array([1.7248921 , 2.96170986])"
519,"array([1.85765976, 3.04004186])"
520,"array([1.71942724, 2.94236142])"
521,"array([1.72572144, 2.94335758])"
522,"array([1.7207739 , 2.95605576])"
523,"array([1.73568527, 3.00644128])"
524,"array([1.72379392, 2.93648539])"
525,"array([1.75449048, 2.94557405])"
526,"array([1.70040468, 3.0358127 ])"
527,"array([1.84118768, 2.94425079])"
528,"array([1.65112578, 2.85528395])"
529,"array([1.69233805, 2.9436541 ])"
530,"array([1.93069774, 2.9747451 ])"
531,"array([1.80501203, 3.02664398])"
532,"array([1.6410942 , 2.89999866])"
533,"array([1.4660683 , 2.83862202])"
534,"array([1.70939649, 3.01041713])"
535,"array([1.61823288, 2.96737145])"
536,"array([1.61538757, 2.96116926])"
537,"array([1.53643246, 2.95847948])"
538,"array([1.66004361, 3.00989977])"
539,"array([1.70942649, 3.03023204])"
540,"array([1.87800473, 3.03987114])"
541,"array([1.72660047, 3.02078049])"
542,"array([1.69841625, 2.98504132])"
543,"array([1.64477884, 2.88602223])"
544,"array([1.59584637, 3.0562221 ])"
545,"array([1.52010302, 3.01973925])"
546,"array([1.41896   , 3.02770883])"
547,"array([1.39877692, 3.10175738])"
548,"array([1.4061687, 3.1644899])"
549,"array([1.5227659 , 3.04117606])"
550,"array([1.6391309 , 2.93625798])"
551,"array([1.69170892, 2.91176625])"
552,"array([1.61463191, 2.95050882])"
553,"array([1.6029123 , 2.94952886])"
554,"array([1.58116372, 2.9549403 ])"
555,"array([1.61067093, 2.94646945])"
556,"array([1.75172857, 2.90199247])"
557,"array([1.77122887, 2.91843466])"
558,"array([1.21374689, 7.81542131])"
559,"array([1.73543086, 3.02233193])"
560,"array([1.8361247 , 3.07808609])"
561,"array([1.63460167, 3.00122118])"
562,"array([1.74904269, 3.02306647])"
563,"array([1.62619067, 2.99307198])"
564,"array([1.74237956, 3.07243084])"
565,"array([1.46014448, 2.96407979])"
566,"array([1.82087364, 3.0260173 ])"
567,"array([1.75493132, 3.1048683 ])"
568,"array([1.48764728, 2.98273363])"
569,"array([1.67219708, 2.89498472])"
570,"array([1.70833257, 3.00269334])"
571,"array([1.91787305, 2.85892426])"
572,"array([1.7979877, 2.9248179])"
573,"array([1.92019894, 2.873192  ])"
574,"array([1.86126753, 3.09864271])"
575,"array([1.69702569, 3.04975113])"
576,"array([1.92352229, 3.11216839])"
